"filename", "language", "PHP", "CSS", "HTML", "JavaScript", "SVG", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\Chat.php", "PHP", 207, 0, 0, 0, 0, 0, 4, 0, 211
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\chat_action.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 42
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\container.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\css\style.css", "CSS", 0, 723, 0, 0, 0, 0, 1, 1, 725
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\footer.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\header.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\index.php", "PHP", 128, 0, 0, 0, 0, 0, 0, 0, 128
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\js\chat.js", "JavaScript", 0, 0, 0, 170, 0, 0, 1, 0, 171
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\login.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 10, 60
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\logout.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\php_chat.sql", "SQL", 0, 0, 0, 0, 0, 47, 47, 24, 118
"c:\xampp\htdocs\trodi\pagina\chat\chatpage.css", "CSS", 0, 284, 0, 0, 0, 0, 30, 75, 389
"c:\xampp\htdocs\trodi\pagina\chat\chatpage.php", "PHP", 129, 0, 0, 0, 0, 0, 7, 24, 160
"c:\xampp\htdocs\trodi\pagina\chat\config.php", "PHP", 7, 0, 0, 0, 0, 0, 2, 1, 10
"c:\xampp\htdocs\trodi\pagina\chat\get_messages.php", "PHP", 39, 0, 0, 0, 0, 0, 12, 18, 69
"c:\xampp\htdocs\trodi\pagina\chat\header.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 5, 55
"c:\xampp\htdocs\trodi\pagina\chat\header2.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 6, 18
"c:\xampp\htdocs\trodi\pagina\chat\home.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\xampp\htdocs\trodi\pagina\chat\index.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\xampp\htdocs\trodi\pagina\chat\logout.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\trodi\pagina\chat\registro.php", "PHP", 99, 0, 0, 0, 0, 0, 8, 22, 129
"c:\xampp\htdocs\trodi\pagina\chat\sendMessage.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\xampp\htdocs\trodi\pagina\chat\sesion.php", "PHP", 103, 0, 0, 0, 0, 0, 6, 15, 124
"c:\xampp\htdocs\trodi\pagina\control-index.php", "PHP", 386, 0, 0, 0, 0, 0, 0, 31, 417
"c:\xampp\htdocs\trodi\pagina\data.php", "PHP", 185, 0, 0, 0, 0, 0, 14, 31, 230
"c:\xampp\htdocs\trodi\pagina\dbConfig.php", "PHP", 7, 0, 0, 0, 0, 0, 2, 1, 10
"c:\xampp\htdocs\trodi\pagina\guardar_publicacion.php", "PHP", 16, 0, 0, 0, 0, 0, 2, 6, 24
